backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,genres,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,foreign,very_popular,year_released,good
/eN1TMy5hT72G2v92x5cNM5trdFv.jpg,"[16, 878, 28]",34433,ja,ドラゴンボールＺ 燃え尽きろ!!熱戦・烈戦・超激戦,"While the Saiyan Paragus persuades Vegeta to rule a new planet, King Kai alerts Goku of the South Galaxy's destruction by an unknown Super Saiyan.",140.856,/6iO8TJCyLI4BiPYOvdwzPV2bhoV.jpg,1993-03-06,Dragon Ball Z: Broly – The Legendary Super Saiyan,False,7.2,646,"Animation,Science Fiction,Action",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,True,0,1993,True
/upOi9aVqPPky7Ba4GsiyFdjc82I.jpg,"[37, 28, 53]",887767,en,Last Shoot Out,"Soon after a newlywed learns that her husband had her father shot down, she flees from the Callahan ranch in fear. She's rescued by a gunman who safeguards her at a remote outpost as he staves off her husband's attempts to reclaim his bride.",140.677,/pvEtPxotI3POlVPvNxgrHJuDXfe.jpg,2021-12-03,Last Shoot Out,False,6.4,109,"Western,Action,Thriller",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,False,0,2021,True
/8fW0wqB3a6dvIoIBduCKocZi58a.jpg,[16],864390,en,Mickey and Minnie Wish Upon a Christmas,"After a series of mishaps, Mickey, Minnie and the gang are separated all over the world and must try to get back to Hot Dog Hills by Christmas Eve. A mysterious and jolly stranger shows up to tell them about The Wishing Star, which could be the secret to bringing everybody home in time to celebrate together.",140.54,/viZ3SvvQi7CRHJxnSKAG2lHU4AK.jpg,2021-12-02,Mickey and Minnie Wish Upon a Christmas,False,7.0,103,Animation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,2021,True
/g9HtCtdLpYv7C20MMirEbpE628v.jpg,"[16, 28, 80]",862491,en,Catwoman: Hunted,"Catwoman's attempt to steal a priceless jewel puts her squarely in the crosshairs of both a powerful consortium of villains and the ever-resourceful Interpol, not to mention Batwoman.",140.319,/iu01cvxs3eLQzra3YNF1pbpXIZa.jpg,2022-02-07,Catwoman: Hunted,False,6.0,39,"Animation,Action,Crime",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,2022,False
/3P52oz9HPQWxcwHOwxtyrVV1LKi.jpg,"[28, 35, 12]",383498,en,Deadpool 2,Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life.,140.319,/to0spRl1CMDvyUbOnbb4fTk3VAd.jpg,2018-05-10,Deadpool 2,False,7.5,14593,"Action,Comedy,Adventure",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,2018,True
/xgDj56UWyeWQcxQ44f5A3RTWuSs.jpg,"[16, 35, 10751, 14]",2062,en,Ratatouille,"Remy, a resident of Paris, appreciates good food and has quite a sophisticated palate. He would love to become a chef so he can create and enjoy culinary masterpieces to his heart's delight. The only problem is, Remy is a rat. When he winds up in the sewer beneath one of Paris' finest restaurants, the rodent gourmet finds himself ideally placed to realize his dream.",139.323,/npHNjldbeTHdKKw28bJKs7lzqzj.jpg,2007-06-28,Ratatouille,False,7.8,13866,"Animation,Comedy,Family,Fantasy",0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,False,0,2007,True
/cc7Nmid20lcfNh1eucWdLKidi7s.jpg,"[80, 18, 53]",850018,en,Windfall,"A man breaks into a tech billionaire's empty vacation home, but things go sideways when the arrogant mogul and his wife arrive for a last-minute getaway.",139.147,/r3eGUCijDCNqwcP1Ri8AZyTbPzI.jpg,2022-03-11,Windfall,False,5.3,210,"Crime,Drama,Thriller",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,False,0,2022,False
/zn13a7U9eMTJq8sHthe3bCgsVm4.jpg,"[28, 12, 14]",122917,en,The Hobbit: The Battle of the Five Armies,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",138.911,/xT98tLqatZPQApyRmlPL12LtiWp.jpg,2014-12-10,The Hobbit: The Battle of the Five Armies,False,7.3,11928,"Action,Adventure,Fantasy",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,0,2014,True
/7FWlcZq3r6525LWOcvO9kNWurN1.jpg,"[12, 28, 878]",271110,en,Captain America: Civil War,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",138.627,/rAGiXaUfPzY7CDEyNKUofk3Kw2e.jpg,2016-04-27,Captain America: Civil War,False,7.4,19695,"Adventure,Action,Science Fiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,0,2016,True
/c8Woa2lNy3RuWW2IVEiOud3kevh.jpg,"[10751, 35]",817648,en,Home Team,"Two years after a Super Bowl win when NFL head coach Sean Payton is suspended, he goes back to his hometown and finds himself reconnecting with his 12-year-old son by coaching his Pop Warner football team.",138.315,/xdPdVJGIQjuVhK7SeK5fpjuc1bu.jpg,2022-01-28,Home Team,False,6.8,471,"Family,Comedy",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,2022,True
